iter	Logloss
0	0.67819991
1	0.6638805689
2	0.6503218578
3	0.6378292989
4	0.6269837577
5	0.6147927517
6	0.6048671701
7	0.5948253923
8	0.5850303236
9	0.5763492956
10	0.5677615463
11	0.5600023106
12	0.553304893
13	0.5458208079
14	0.5392602989
15	0.5330658822
16	0.5275240144
17	0.5220177298
18	0.5162823484
19	0.511055036
20	0.5063018824
21	0.5032307226
22	0.4990345683
23	0.4953629839
24	0.4909419743
25	0.4870346469
26	0.4830952893
27	0.4798215947
28	0.4763253909
29	0.4736036546
30	0.4704469219
31	0.4672749997
32	0.4643064685
33	0.4618760529
34	0.4593914104
35	0.4572021587
36	0.455441055
37	0.4533445176
38	0.4512014326
39	0.4493115299
40	0.4477068483
41	0.445749702
42	0.4440986003
43	0.442507457
44	0.4407899647
45	0.4397473861
46	0.4383698599
47	0.4374789542
48	0.4362944321
49	0.4349092928
50	0.4337951972
51	0.4327074226
52	0.4312607209
53	0.429853497
54	0.4294593701
55	0.4283016425
56	0.4272416215
57	0.4260819288
58	0.4250832295
59	0.4240872586
60	0.4232152139
61	0.4223324683
62	0.421789087
63	0.4212498423
64	0.4203802586
65	0.4195771575
66	0.4187354924
67	0.4179818652
68	0.4173057272
69	0.41659642
70	0.4157441924
71	0.4152193432
72	0.4145724297
73	0.4140661037
74	0.4133911205
75	0.4130867364
76	0.4124540771
77	0.4117158203
78	0.4110726762
79	0.4105164757
80	0.4099772476
81	0.4094130067
82	0.4089596744
83	0.4084108598
84	0.4076932862
85	0.4070137235
86	0.4064190039
87	0.4060291168
88	0.4055308041
89	0.4050290698
90	0.4045957497
91	0.4041081011
92	0.4036946163
93	0.403219607
94	0.4028450625
95	0.4024100947
96	0.4019741189
97	0.4015486298
98	0.4010908132
99	0.4006698212
100	0.4002693566
101	0.3999614854
102	0.3996585063
103	0.3992531081
104	0.3988317659
105	0.398434171
106	0.3980968123
107	0.3979241304
108	0.3975915471
109	0.3974080885
110	0.3970010161
111	0.3967040889
112	0.3963503809
113	0.3959215493
114	0.3956998138
115	0.3953782114
116	0.3949748677
117	0.3948671189
118	0.3945700394
119	0.3943742219
120	0.3940636272
121	0.3938030744
122	0.3936623725
123	0.3933469022
124	0.3930299106
125	0.3927463929
126	0.3924299438
127	0.3921180099
128	0.3918752856
129	0.3916801285
130	0.3914179416
131	0.3911256269
132	0.3909258484
133	0.390721158
134	0.3904134336
135	0.3901312774
136	0.3898692831
137	0.3896989699
138	0.389519602
139	0.3893014568
140	0.3890952181
141	0.3888033135
142	0.3885858726
143	0.3882746572
144	0.3880179382
145	0.3878167027
146	0.3876257766
147	0.3873575708
148	0.3871443366
149	0.3869555214
150	0.3866849613
151	0.3864286963
152	0.386129384
153	0.3859360314
154	0.3856728931
155	0.3855107389
156	0.3852649454
157	0.3851308659
158	0.3849829916
159	0.3848174131
160	0.3844271843
161	0.3841801772
162	0.3839904152
163	0.3837828178
164	0.3835644827
165	0.3833684822
166	0.3831583601
167	0.3830180805
168	0.3828696004
169	0.3826351256
170	0.3824020091
171	0.382020957
172	0.3817252425
173	0.3814778312
174	0.3812806536
175	0.3810777282
176	0.3808494736
177	0.3806214046
178	0.3804301205
179	0.3801158634
180	0.3799888276
181	0.379836103
182	0.3796446964
183	0.3795181914
184	0.3793241476
185	0.3790804324
186	0.3788084703
187	0.3786067113
188	0.3784598674
189	0.3782491695
190	0.3780796036
191	0.377857288
192	0.3777269459
193	0.3775558646
194	0.3773863307
195	0.3772061501
196	0.3770777487
197	0.3768003086
198	0.3766173132
199	0.3763172705
200	0.3762435702
201	0.3760800147
202	0.3759064612
203	0.3757158016
204	0.3755017332
205	0.375257888
206	0.375047818
207	0.374911724
208	0.37474275
209	0.3744968542
210	0.3743901094
211	0.3742464656
212	0.3740603497
213	0.3738336896
214	0.3736818305
215	0.3735732705
216	0.3733750217
217	0.3731947375
218	0.3731413705
219	0.3729118923
220	0.3727331091
221	0.3725624713
222	0.3723366966
223	0.3721103436
224	0.3719221295
225	0.3718484292
226	0.3717659752
227	0.3716328483
228	0.3714872022
229	0.3713543851
230	0.3710822321
231	0.3709392576
232	0.3707264204
233	0.3704477826
234	0.3703365174
235	0.3702403177
236	0.3700166746
237	0.3698955097
238	0.369835033
239	0.3696967025
240	0.3695061185
241	0.3693810079
242	0.3693277378
243	0.3690943222
244	0.3689564265
245	0.3687714141
246	0.3686686836
247	0.3685567724
248	0.3683473903
249	0.3681938068
250	0.3680483135
251	0.3678307087
252	0.3676850071
253	0.3674740535
254	0.3673535894
255	0.3672466737
256	0.3671485763
257	0.3670199998
258	0.3667633082
259	0.3667578707
260	0.3665801381
261	0.3664698588
262	0.3663563017
263	0.3662090546
264	0.3661365515
265	0.3660134546
266	0.3658461562
267	0.3656554155
268	0.3655456895
269	0.3654321668
270	0.365349313
271	0.3652460167
272	0.3651097321
273	0.3649608062
274	0.3648711324
275	0.3647348624
276	0.3646733879
277	0.3645600855
278	0.3645288041
279	0.3644832846
280	0.3643502115
281	0.36418899
282	0.3640557007
283	0.3639021304
284	0.3637003053
285	0.3636737373
286	0.3635272927
287	0.3633615908
288	0.3633080148
289	0.3633055829
290	0.3630834254
291	0.3629344045
292	0.3627773637
293	0.36257378
294	0.3624531356
295	0.3622839146
296	0.3621906569
297	0.3621072405
298	0.3619450395
299	0.3619032489
300	0.3617090733
301	0.36152372
302	0.3614851126
303	0.3613161325
304	0.3611474509
305	0.3610613041
306	0.3609296554
307	0.3607809893
308	0.3605956721
309	0.3604254414
310	0.3602851542
311	0.36015044
312	0.3600337335
313	0.3598982259
314	0.359726511
315	0.3595654883
316	0.3593800638
317	0.3592881968
318	0.3591958895
319	0.3590513176
320	0.3589277699
321	0.3588298609
322	0.3586549107
323	0.358411582
324	0.3583087239
325	0.3581986468
326	0.3581212361
327	0.3579539629
328	0.3578792134
329	0.3577563525
330	0.3575476557
331	0.3573681714
332	0.3572211847
333	0.357140674
334	0.3569692383
335	0.3568627627
336	0.3567395897
337	0.3566866885
338	0.3566295289
339	0.3566019905
340	0.3564435699
341	0.3563039771
342	0.3560906542
343	0.3559760414
344	0.355836541
345	0.3557151431
346	0.355464578
347	0.355386242
348	0.3552311696
349	0.3551421173
350	0.3549097633
351	0.3548243754
352	0.3546957964
353	0.354591574
354	0.3544836096
355	0.3544410663
356	0.3543206699
357	0.3542719107
358	0.3541788111
359	0.3540177227
360	0.3539040182
361	0.3537392909
362	0.3536090068
363	0.3535001291
364	0.3533578407
365	0.3531988173
366	0.3530667493
367	0.3529389667
368	0.3528164502
369	0.3525304428
370	0.3524351473
371	0.3523130114
372	0.3522269187
373	0.3521243494
374	0.351957607
375	0.3518193497
376	0.3517390905
377	0.3515339204
378	0.3514154381
379	0.3512554137
380	0.3511565054
381	0.3509721882
382	0.3508234331
383	0.3507199423
384	0.3505867897
385	0.3505427255
386	0.3503681801
387	0.3502356638
388	0.3501374996
389	0.3500161341
390	0.3498464103
391	0.3496922983
392	0.3495347977
393	0.3493485972
394	0.3492223246
395	0.3489954472
396	0.3488557112
397	0.3487934586
398	0.3486658517
399	0.3485474278
400	0.3484211043
401	0.3483378816
402	0.3481261241
403	0.3479763564
404	0.3478901245
405	0.3477817937
406	0.3476897695
407	0.3475573418
408	0.3473486876
409	0.3471667733
410	0.3469550119
411	0.3468078947
412	0.3465468423
413	0.3463301221
414	0.3462115872
415	0.3460978015
416	0.3459380807
417	0.3458085224
418	0.3456953326
419	0.3455806076
420	0.3453358482
421	0.345139527
422	0.3450245356
423	0.3448948117
424	0.344782601
425	0.3445572348
426	0.3444453901
427	0.3442594737
428	0.3440572896
429	0.3439048768
430	0.3437980869
431	0.3436648141
432	0.3435577501
433	0.3434795622
434	0.3433231256
435	0.3432170623
436	0.3430155005
437	0.3428671307
438	0.3427329781
439	0.3426096505
440	0.3424970886
441	0.3423811654
442	0.3422789828
443	0.3421495052
444	0.342048898
445	0.3419799437
446	0.3419696448
447	0.3418040987
448	0.3416877941
449	0.3415544154
450	0.3414389803
451	0.3413120232
452	0.3412043024
453	0.341051566
454	0.3409422513
455	0.340806051
456	0.3406103083
457	0.3404618785
458	0.3403187725
459	0.3401569198
460	0.3400799062
461	0.3399460462
462	0.339862967
463	0.3397844217
464	0.3396613016
465	0.3395317127
466	0.3394334369
467	0.3393115312
468	0.3392192121
469	0.3390633262
470	0.3389641561
471	0.3388083995
472	0.3386969835
473	0.3385780877
474	0.3384293355
475	0.3382508942
476	0.3380827839
477	0.3379555739
478	0.3378238203
479	0.3377151743
480	0.3376198732
481	0.3374273798
482	0.337235228
483	0.337107122
484	0.3369962311
485	0.3368970996
486	0.3367416221
487	0.3366153714
488	0.3365276115
489	0.3363932288
490	0.3362385476
491	0.3361457315
492	0.3360016222
493	0.3358736161
494	0.3357315919
495	0.3356215816
496	0.3354931614
497	0.3354068983
498	0.3353000977
499	0.3351074565
500	0.3350102356
501	0.3348982365
502	0.3347113134
503	0.3345422344
504	0.3343708138
505	0.3342550284
506	0.3341717127
507	0.3340637827
508	0.3339622667
509	0.3338787303
510	0.333719825
